Sr_No,Bank,No_of_Transactions,Total_Amount,Active_Customers_Count,Month,Year,Category
351,Bassein Catholic Co-Operative Bank Ltd.,72773,5968519.358,22350,May,2024,Internet Banking
352,Bharat Co-Operative Bank (Mumbai) Ltd.,48279,10281462.08,3397,May,2024,Internet Banking
353,BNP Paribas,432875,374476081.7,424,May,2024,Internet Banking
354,Canara Bank,3440550,562105528.9,501874,May,2024,Internet Banking
355,Capital Small Finance Bank ,11892,2594244.576,729,May,2024,Internet Banking
356,Central Bank of India,12066061,265464723.5,243179,May,2024,Internet Banking
357,City Union Bank,759187,89242442,94880,May,2024,Internet Banking
358,Credit Agricole Corporate & Investment Bank,55581,24984660.38,160,May,2024,Internet Banking
359,CSB Bank Ltd.,98888,4689253.375,51101,May,2024,Internet Banking
360,DBS Bank India Limited,502117,292800525.5,55541,May,2024,Internet Banking
361,DCB Bank Limited,157283,23606821.18,19872,May,2024,Internet Banking
362,Deutsche Bank,44496,4207874.859,17179,May,2024,Internet Banking
363,Dhanlaxmi Bank Ltd.,193476,13714947.62,19414,May,2024,Internet Banking
364,Emirates NBD Bank PJSC,499,80407.38652,222,May,2024,Internet Banking
365,Equitas Small Finance Bank,92638,12714736.82,72262,May,2024,Internet Banking
366,ESAF Small Finance Bank,85729,3529337.619,4023,May,2024,Internet Banking
367,Federal Bank,1813225,169778415.7,227627,May,2024,Internet Banking
368,Fino Payments Bank,42,36.077,12,May,2024,Internet Banking
369,"GP Parsik Sahakari Bank Ltd.,Thane",40186,4773341.2,5464,May,2024,Internet Banking
370,HDFC Bank,64991483,6474592987,29232972,May,2024,Internet Banking
371,HSBC,10567939,4397642668,174987,May,2024,Internet Banking
372,ICICI Bank,94241631,39322861982,4205927,May,2024,Internet Banking
373,IDBI Bank,2328407,708711143.1,528380,May,2024,Internet Banking
374,IDFC First Bank Ltd.,3236034,1083606303,485334,May,2024,Internet Banking
375,Indian Bank,2829787,313074997,429721,May,2024,Internet Banking
376,Indian Overeas Bank,3196777,271962317.6,351318,May,2024,Internet Banking
377,IndusInd Bank Limited,4082145,423604560.3,488567,May,2024,Internet Banking
378,Industrial And Commercial Bank of China Ltd.,796,910604.8464,34,May,2024,Internet Banking
379,Industrial Bank of Korea,2124,2165246.544,102,May,2024,Internet Banking
380,Jana Small Finance Bank,24131,2553326.441,6083,May,2024,Internet Banking
381,"Janata Sahakari Bank Ltd.,Pune",74653,5734369.294,6991,May,2024,Internet Banking
382,Karnataka Bank,421915,55749663.86,37244,May,2024,Internet Banking
383,Kookmin Bank,446,203138.5913,101,May,2024,Internet Banking
384,Kotak Mahindra Bank,14912452,3753149528,2041147,May,2024,Internet Banking
385,"Mahesh Sahakari Bank Limited,Pune",7980,1064220.24,11778,May,2024,Internet Banking
386,MUFG Bank Ltd.,132144,163634125.8,542,May,2024,Internet Banking
387,Nainital Bank,13325,2176721.561,1614,May,2024,Internet Banking
388,New India Co-Operative Bank Ltd.,6334,443063.9668,1740,May,2024,Internet Banking
389,NKGSB Co-Op. Bank Ltd.,32355,3145412.473,5549,May,2024,Internet Banking
390,North East Small Finance Bank Limited,6378,1610238.643,369,May,2024,Internet Banking
391,NSDL Payments Bank,5954,38751589.71,22,May,2024,Internet Banking
392,Paytm Payments Bank Limited,22,1621.568,27,May,2024,Internet Banking
393,Punjab & Sind Bank,159638,28473331.89,25130,May,2024,Internet Banking
394,Punjab National Bank,5662592,1551373695,634500,May,2024,Internet Banking
395,RBL Bank,1110882,191248354.7,111713,May,2024,Internet Banking
396,Saraswat Co-Operative Bank Ltd.,498137,84109997.12,54095,May,2024,Internet Banking
397,SBM Bank India Ltd.,21624,8621745.685,2697,May,2024,Internet Banking
398,Shinhan Bank,10653,7436707.616,3867,May,2024,Internet Banking
399,Shivalik Small Finance Bank Ltd.,43739,3571461.294,1266,May,2024,Internet Banking
400,Societe Generale,935,3692380.629,10,May,2024,Internet Banking
401,South Indian Bank,719365,86593040.84,68255,May,2024,Internet Banking
402,State Bank of India,115183935,19724571995,39643663,May,2024,Internet Banking
403,Suryoday Small Finance Bank,12573,1419741.862,9520,May,2024,Internet Banking
404,SVC Bank Ltd.,127304,20815121.14,37279,May,2024,Internet Banking
405,Tamil Nadu State Co-Op Bank,10951,5159517.86,824,May,2024,Internet Banking
406,Tamilnad Mercantile Bank Ltd.,547842,78982957.72,43108,May,2024,Internet Banking
407,Thane Bharat Sahakari Bank Ltd.,21472,1956291.335,2834,May,2024,Internet Banking
408,The Ahmedabad District Co Operative Bank Ltd.,2143,368391.8486,112,May,2024,Internet Banking
409,"The Akola Janata Commercial Co-Op Bank Ltd.,Akola",1904,361246.7297,691,May,2024,Internet Banking
410,The Jammu And Kashmir Bank Ltd.,482969,68702959.8,153143,May,2024,Internet Banking
411,The Kalupur Commercial Co-Op Bank Ltd.,74191,23708237.84,5574,May,2024,Internet Banking
412,The Kalyan Janata Sahakari Bank Ltd.,7059,728487.0691,668,May,2024,Internet Banking
413,The Karur Vysya Bank Ltd.,613235,103512093.4,109125,May,2024,Internet Banking
414,The Surat Peoples Co-Op Bank Ltd.,15905,5628587.64,760,May,2024,Internet Banking
415,TJSB Sahakari Bank Ltd.,128233,15081140.49,15554,May,2024,Internet Banking
416,UCO Bank,408681,59848315.46,86229,May,2024,Internet Banking
417,Ujjivan Small Finance Bank Limited,96097,26281268.04,15021,May,2024,Internet Banking
418,Union Bank of India,3305448,641077142.9,420617,May,2024,Internet Banking
419,Utkarsh Small Finance Bank Limited,50822,4460618.739,9416,May,2024,Internet Banking
420,Woori Bank,2765,2463346.774,454,May,2024,Internet Banking
421,YES Bank,5563024,1991320676,326318,May,2024,Internet Banking
422,Abhyudaya Co-Operative Bank Ltd.,1,96.2,1,June,2024,Internet Banking
423,Ahmednagar Merchants Co-Op Bank Ltd.,22328,3887012.33,1566,June,2024,Internet Banking
424,Airtel Payments Bank,17011,132995.82,128,June,2024,Internet Banking
425,Andhra Pradesh Grameena Vikas Bank ,1451,95975.14,895,June,2024,Internet Banking
426,AU Small Finance Bank Ltd.,1004260,229848785.6,72956,June,2024,Internet Banking
427,Australia And New Zealand Banking Group Limited,29343,163216397.3,58,June,2024,Internet Banking
428,Axis Bank,4633384,462584523.4,1378655,June,2024,Internet Banking
429,Bandhan Bank,523386,73760975.15,76077,June,2024,Internet Banking
430,Bank of America National Association,851378,764529178.7,535,June,2024,Internet Banking
431,Bank of Baroda,3541843,741222355.8,532967,June,2024,Internet Banking
432,Bank of India,2652607,732135273.9,501382,June,2024,Internet Banking
433,Bank of Maharashtra,7432443,286397741.7,160215,June,2024,Internet Banking
434,Barclays Bank PLC,103638,94297577.54,1829,June,2024,Internet Banking
435,Bassein Catholic Co-Operative Bank Ltd.,72535,5933777.31,22547,June,2024,Internet Banking
436,Bharat Co-Operative Bank (Mumbai) Ltd.,55031,11401388.45,3377,June,2024,Internet Banking
437,BNP Paribas,409417,366721925.5,421,June,2024,Internet Banking
438,Canara Bank,3401808,749283592.3,499284,June,2024,Internet Banking
439,Capital Small Finance Bank ,10407,2327388.68,747,June,2024,Internet Banking
440,Central Bank of India,11667391,257709742.1,236223,June,2024,Internet Banking
441,City Union Bank,721459,87204045.83,94662,June,2024,Internet Banking
442,Credit Agricole Corporate & Investment Bank,52377,24078900.51,158,June,2024,Internet Banking
443,CSB Bank Ltd.,92147,4398221.59,51108,June,2024,Internet Banking
444,DBS Bank India Limited,495207,268781796.3,60147,June,2024,Internet Banking
445,DCB Bank Limited,155356,23425081.03,19877,June,2024,Internet Banking
446,Deutsche Bank,41282,3895924.76,16729,June,2024,Internet Banking
447,Dhanlaxmi Bank Ltd.,121216,12138707.15,19496,June,2024,Internet Banking
448,Emirates NBD Bank PJSC,515,80098.84,246,June,2024,Internet Banking
449,Equitas Small Finance Bank,89569,13239922.17,70275,June,2024,Internet Banking
450,ESAF Small Finance Bank,106057,3403408.84,4131,June,2024,Internet Banking
451,Federal Bank,1677832,158825647.4,226046,June,2024,Internet Banking
452,Fino Payments Bank,12,343.8,6,June,2024,Internet Banking
453,"GP Parsik Sahakari Bank Ltd.,Thane",38803,4658558.97,5361,June,2024,Internet Banking
454,HDFC Bank,62712239,6563743665,29417238,June,2024,Internet Banking
455,HSBC,11344080,4293421666,176804,June,2024,Internet Banking
456,ICICI Bank,98094652,44649920508,4150425,June,2024,Internet Banking
457,IDBI Bank,2296611,747130729.1,519131,June,2024,Internet Banking
458,IDFC First Bank Ltd.,3058159,1177340351,488751,June,2024,Internet Banking
459,Indian Bank,2653677,308786809.4,423309,June,2024,Internet Banking
460,Indian Overeas Bank,3395145,266221268.2,348422,June,2024,Internet Banking
461,IndusInd Bank Limited,3266843,423540083.7,489061,June,2024,Internet Banking
462,Industrial And Commercial Bank of China Ltd.,869,928142.01,35,June,2024,Internet Banking
463,Industrial Bank of Korea,1971,2579705.51,102,June,2024,Internet Banking
464,Jana Small Finance Bank,19626,2502574.02,5580,June,2024,Internet Banking
465,"Janata Sahakari Bank Ltd.,Pune",72193,7391696.39,6839,June,2024,Internet Banking
466,Karnataka Bank,436715,55284049.83,37292,June,2024,Internet Banking
467,Kookmin Bank,400,274597.71,97,June,2024,Internet Banking
468,Kotak Mahindra Bank,15107725,3772797563,1961865,June,2024,Internet Banking
469,"Mahesh Sahakari Bank Limited,Pune",7909,1036405.11,12066,June,2024,Internet Banking
470,MUFG Bank Ltd.,168785,270861071.6,538,June,2024,Internet Banking
471,Nainital Bank,9676,1485563.82,1581,June,2024,Internet Banking
472,New India Co-Operative Bank Ltd.,5925,355401.93,1691,June,2024,Internet Banking
473,NKGSB Co-Op. Bank Ltd.,31869,2986142.18,5500,June,2024,Internet Banking
474,North East Small Finance Bank Limited,8083,2240673.31,341,June,2024,Internet Banking
475,NSDL Payments Bank,7734,36384212.75,23,June,2024,Internet Banking
476,Paytm Payments Bank Limited,18,734.73,13,June,2024,Internet Banking
477,Punjab & Sind Bank,175393,26565419.21,24881,June,2024,Internet Banking
478,Punjab National Bank,5278421,1508515941,629292,June,2024,Internet Banking
479,RBL Bank,714228,181806147.1,109835,June,2024,Internet Banking
480,Saraswat Co-Operative Bank Ltd.,515998,83634735.87,55592,June,2024,Internet Banking
481,SBM Bank India Ltd.,16702,8307714.44,2492,June,2024,Internet Banking
482,Shinhan Bank,10360,7757251.53,3878,June,2024,Internet Banking
483,Shivalik Small Finance Bank Ltd.,61353,2763539.83,1181,June,2024,Internet Banking
484,Societe Generale,656,7116336.3,9,June,2024,Internet Banking
485,South Indian Bank,689829,81605508.93,67625,June,2024,Internet Banking
486,State Bank of India,110014676,21790329648,39873926,June,2024,Internet Banking
487,Suryoday Small Finance Bank,12732,1403680.83,7986,June,2024,Internet Banking
488,SVC Bank Ltd.,126122,20231251,36575,June,2024,Internet Banking
489,Tamil Nadu State Co-Op Bank,10661,5572402.39,865,June,2024,Internet Banking
490,Tamilnad Mercantile Bank Ltd.,531398,77136674.81,43086,June,2024,Internet Banking
491,Thane Bharat Sahakari Bank Ltd.,20920,1795745.3,2909,June,2024,Internet Banking
492,The Ahmedabad District Co Operative Bank Ltd.,2269,381094.59,118,June,2024,Internet Banking
493,"The Akola Janata Commercial Co-Op Bank Ltd.,Akola",1846,321586.16,562,June,2024,Internet Banking
494,The Jammu And Kashmir Bank Ltd.,456128,63762253.82,149040,June,2024,Internet Banking
495,The Kalupur Commercial Co-Op Bank Ltd.,72733,21286521.21,5569,June,2024,Internet Banking
496,The Kalyan Janata Sahakari Bank Ltd.,7071,779976.91,703,June,2024,Internet Banking
497,The Karur Vysya Bank Ltd.,938547,175129018.8,162424,June,2024,Internet Banking
498,The Surat Peoples Co-Op Bank Ltd.,15057,5210242.37,619,June,2024,Internet Banking
499,TJSB Sahakari Bank Ltd.,126292,14088618.93,15488,June,2024,Internet Banking
500,UCO Bank,384304,57670787.14,86597,June,2024,Internet Banking
501,Ujjivan Small Finance Bank Limited,84381,23890756.45,15396,June,2024,Internet Banking
502,Union Bank of India,3201024,613273955.8,417735,June,2024,Internet Banking
503,Utkarsh Small Finance Bank Limited,44296,3582487.42,8846,June,2024,Internet Banking
504,Woori Bank,2939,1984854.94,461,June,2024,Internet Banking
505,YES Bank,5480972,2134850043,321015,June,2024,Internet Banking
506,Abhyudaya Co-Operative Bank Ltd.,8,723.97,2,July,2024,Internet Banking
507,Ahmednagar Merchants Co-Op Bank Ltd.,23800,4121277.53,1584,July,2024,Internet Banking
508,Airtel Payments Bank,17321,136254.41,110,July,2024,Internet Banking
509,Andhra Pradesh Grameena Vikas Bank ,1540,94192.1,948,July,2024,Internet Banking
510,AU Small Finance Bank Ltd.,1226011,249104824.8,76403,July,2024,Internet Banking
511,Australia And New Zealand Banking Group Limited,31226,158873559.1,57,July,2024,Internet Banking
512,Axis Bank,5415047,531301419.1,1455534,July,2024,Internet Banking
513,Bandhan Bank,667623,80686504.12,91188,July,2024,Internet Banking
514,Bank of America National Association,871455,802697309.4,538,July,2024,Internet Banking
515,Bank of Baroda,3770635,781952367.2,546643,July,2024,Internet Banking
516,Bank of India,2867813,757777464.5,530885,July,2024,Internet Banking
517,Bank of Maharashtra,7171735,287275584.3,182620,July,2024,Internet Banking
518,Barclays Bank PLC,113760,64674116.23,1830,July,2024,Internet Banking
519,Bassein Catholic Co-Operative Bank Ltd.,75027,6090153.06,23030,July,2024,Internet Banking
520,Bharat Co-Operative Bank (Mumbai) Ltd.,66957,11831243.82,3554,July,2024,Internet Banking
521,BNP Paribas,434679,373840366.5,424,July,2024,Internet Banking
522,Canara Bank,3722866,775614747.9,518216,July,2024,Internet Banking
523,Capital Small Finance Bank ,11158,2318953.86,765,July,2024,Internet Banking
524,Central Bank of India,12003326,272167690.8,243778,July,2024,Internet Banking
525,City Union Bank,780252,93946913.25,96205,July,2024,Internet Banking
526,Credit Agricole Corporate & Investment Bank,55728,32261015.26,174,July,2024,Internet Banking
527,CSB Bank Ltd.,92521,4354867.35,51886,July,2024,Internet Banking
528,DBS Bank India Limited,513654,308989102.5,66431,July,2024,Internet Banking
529,DCB Bank Limited,168187,25412949.67,20690,July,2024,Internet Banking
530,Deutsche Bank,46028,4286787.8,17102,July,2024,Internet Banking
531,Dhanlaxmi Bank Ltd.,116365,11978556.54,21770,July,2024,Internet Banking
532,Emirates NBD Bank PJSC,472,80584.84,236,July,2024,Internet Banking
533,Equitas Small Finance Bank,93978,15403578.63,71842,July,2024,Internet Banking
534,ESAF Small Finance Bank,79598,3691758.78,4221,July,2024,Internet Banking
535,Federal Bank,1776422,166721328.6,229672,July,2024,Internet Banking
536,Fino Payments Bank,18,379.43,10,July,2024,Internet Banking
537,"GP Parsik Sahakari Bank Ltd.,Thane",24696,2643507.34,4997,July,2024,Internet Banking
538,HDFC Bank,67617695,7049751588,30721703,July,2024,Internet Banking
539,HSBC,13079293,4699880679,184923,July,2024,Internet Banking
540,ICICI Bank,116176827,47997412612,4198685,July,2024,Internet Banking
541,IDBI Bank,2560753,842410328.4,545746,July,2024,Internet Banking
542,IDFC First Bank Ltd.,3304178,1165882454,503713,July,2024,Internet Banking
543,Indian Bank,2862217,329141933.4,439876,July,2024,Internet Banking
544,Indian Overeas Bank,3815704,292584006.1,356284,July,2024,Internet Banking
545,IndusInd Bank Limited,3570590,469730052.9,512305,July,2024,Internet Banking
546,Industrial And Commercial Bank of China Ltd.,981,1166929.54,32,July,2024,Internet Banking
547,Industrial Bank of Korea,1039,1317282.83,109,July,2024,Internet Banking
548,Jana Small Finance Bank,20236,2470219.62,6553,July,2024,Internet Banking
549,"Janata Sahakari Bank Ltd.,Pune",75261,7871124.9,6995,July,2024,Internet Banking
550,Karnataka Bank,473041,56117836.3,37001,July,2024,Internet Banking
551,Kookmin Bank,367,228948.13,98,July,2024,Internet Banking
552,Kotak Mahindra Bank,16130499,4053828747,2118557,July,2024,Internet Banking
553,"Mahesh Sahakari Bank Limited,Pune",8508,1140145.16,12468,July,2024,Internet Banking
554,MUFG Bank Ltd.,144559,283477105.8,545,July,2024,Internet Banking
555,Nainital Bank,1306,138167.6,1343,July,2024,Internet Banking
556,New India Co-Operative Bank Ltd.,6086,502117.75,2568,July,2024,Internet Banking
557,NKGSB Co-Op. Bank Ltd.,34240,3311949.91,5723,July,2024,Internet Banking
558,North East Small Finance Bank Limited,5600,2672152.79,299,July,2024,Internet Banking
559,NSDL Payments Bank,6101,45677658.47,25,July,2024,Internet Banking
560,Paytm Payments Bank Limited,4,3.75,11,July,2024,Internet Banking
561,Punjab & Sind Bank,254476,32819449.57,26542,July,2024,Internet Banking
562,Punjab National Bank,5725385,1627113239,666855,July,2024,Internet Banking
563,RBL Bank,763847,197134213.8,115624,July,2024,Internet Banking
564,Saraswat Co-Operative Bank Ltd.,576650,88860139.97,62643,July,2024,Internet Banking
565,SBM Bank India Ltd.,23443,7316474.05,2517,July,2024,Internet Banking
566,Shinhan Bank,10454,8201794.35,3857,July,2024,Internet Banking
567,Shivalik Small Finance Bank Ltd.,42908,2377736.84,1153,July,2024,Internet Banking
